Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-1698 b,0.001,0.001,0.012,0.1,0.00394,1722,1448,3.025,1.2107,1.434,10.9,222.34,4975,4.61,TRUE,nexsci
HATS-62 b,0.029,0.049,0.156,1.05,0.179,1468,1234,2.601,3.2769,2.7653,12.1,523.07,5416,4.45,TRUE,nexsci
HATS-64 b,0.13,0.07,0.058,1.68,0.96,2131,1792,2.926,4.9089,5.8056,11.7,1080.15,6554,3.98,TRUE,nexsci
K2-291 b,0.005,0.005,0.018,0.14,0.02042,1663,1398,3.4,2.2252,1.719,8.4,90.06,5520,4.5,TRUE,nexsci
K2-290 b,0.002,0.005,0.025,0.27,0.0343,1462,1229,3.057,9.2117,4.96,9.4,272.91,6302,4.23,TRUE,nexsci
HATS-65 b,0.176,0.121,0.106,1.5,0.821,1943,1634,2.956,3.1052,2.8848,11.1,493.32,6277,4.3,TRUE,nexsci
HATS-66 b,0.102,0.042,0.005,1.41,5.33,2374,1996,3.822,3.1414,4.5432,12.8,1477.98,6626,4.06,TRUE,nexsci
HATS-63 b,0.051,0.054,0.033,1.21,0.96,1664,1399,3.213,3.0567,2.448,12.2,623.23,5627,4.35,TRUE,nexsci
HATS-69 b,0.041,0.054,0.042,0.94,0.577,1542,1297,3.205,2.2253,2.3578,11.9,414.54,5137,4.5,TRUE,nexsci
HATS-68 b,0.11,0.061,0.026,1.23,1.29,2071,1741,3.324,3.5862,3.42,10.9,603.96,6147,4.08,TRUE,nexsci
HATS-60 b,0.088,0.069,0.055,1.15,0.662,1816,1527,3.091,3.5608,3.8592,11,486.47,5688,4.15,TRUE,nexsci
WASP-76 b,2.349,0.766,0.568,1.88,0.921566,2593,2180,2.833,1.8099,3.6936,8.2,120,6250,4.4,TRUE,exoplanets.org
WASP-136 b,0.257,0.159,0.062,1.32,1.49872,2012,1692,3.35,5.2154,5.4528,8.8,164,6250,3.9,TRUE,exoplanets.org
HD 219134 c,0.001,0.019,0.18,0.14,0.013711,929,782,3.273,6.7646,1.6608,3.3,6.55,4699,4.567,TRUE,exoplanets.org
WASP-130 b,0.003,0.039,,0.91,1.23432,992,834,3.585,11.551,3.72,,180,5625,4.49,TRUE,exoplanets.org
WASP-113 b,0.121,0.108,,1.44,0.478455,1763,1483,2.779,4.5422,4.2984,,360,5890,4.2,TRUE,exoplanets.org
WASP-132 b,0.001,0.029,,0.89,0.416435,902,758,3.137,7.1335,3.0816,,120,4750,4.61,TRUE,exoplanets.org
XO-6 b,0.692,0.311,0.15,2.11,1.98574,2304,1937,3.064,3.765,2.904,9.2,232.56,6720,4.04,TRUE,exoplanets.org
HAT-P-52 b,0.034,0.058,0.038,1.03,0.819064,1445,1215,3.302,2.7536,2.4072,11.6,385,5131,4.483,TRUE,exoplanets.org
WASP-138 b,0.137,0.094,0.042,1.18,1.2057,1946,1636,3.356,3.6344,3.7728,10.5,308,6300,4.1,TRUE,exoplanets.org
WASP-133 b,0.185,0.093,0.036,1.23,1.19916,2108,1773,3.313,2.1764,3.4392,11.2,547,5700,4.1,TRUE,exoplanets.org
WASP-65 b,0.177,0.153,0.049,1.14,1.54536,1764,1483,3.493,2.3114,2.735,10.3,310,5600,4.25,TRUE,exoplanets.org
WASP-142 b,0.27,0.104,0.072,1.56,0.836882,2384,2005,2.951,2.0529,2.6808,11.4,840,6060,4,TRUE,exoplanets.org
WASP-121 b,1.913,0.546,0.315,1.81,1.18367,2800,2355,2.975,1.2749,2.8872,9.4,270,6460,4.2,TRUE,exoplanets.org
WASP-119 b,0.227,0.165,0.077,1.37,1.23035,1861,1565,3.234,2.4998,3.024,10.5,333,5650,4.5,TRUE,exoplanets.org
HAT-P-53 b,0.162,0.084,0.032,1.35,1.4868,2110,1774,3.329,1.9616,2.7936,12.1,719,5956,4.31,TRUE,exoplanets.org
HD 219134 b,0.009,0.035,0.194,0.15,0.014888,1206,1014,3.257,3.0929,0.9456,3.3,6.55,4699,4.567,TRUE,exoplanets.org
WASP-156 b,0.007,0.035,0.095,0.52,0.130522,1152,969,3.103,3.8362,2.41,9.3,140,4910,4.6,TRUE,exoplanets.org
WASP-114 b,0.305,0.113,,1.37,1.76833,2409,2026,3.39,1.5488,2.7821,,460,5940,4.3,TRUE,exoplanets.org
WASP-120 b,0.303,0.144,0.019,1.51,4.83617,2226,1872,3.744,3.6113,3.5592,9.9,437,6450,4.3,TRUE,exoplanets.org
WASP-127 b,0.224,0.273,0.897,1.35,0.204061,1612,1355,2.466,4.1781,4.308,8.6,102,5750,3.9,TRUE,exoplanets.org
WASP-139 b,0.004,0.031,,0.82,0.117935,1088,915,2.656,5.9243,2.832,,230,5300,4.59,TRUE,exoplanets.org
WASP-141 b,0.111,0.083,,1.24,2.68652,1874,1576,3.657,3.3107,3.6,,570,6050,4.26,TRUE,exoplanets.org
WASP-153 b,0.177,0.102,0.175,1.58,0.394428,2032,1708,2.612,3.3326,3.84,11.1,430,5914,4.1,TRUE,exoplanets.org
HAT-P-51 b,0.037,0.074,0.181,1.32,0.309149,1415,1189,2.662,4.218,3.3672,11.6,470,5449,4.392,TRUE,exoplanets.org
WASP-140 b,0.16,0.2,,1.24,2.43513,1575,1324,3.616,2.236,1.5144,,180,5300,4.2,TRUE,exoplanets.org
WASP-126 b,0.125,0.11,0.174,0.99,0.284326,1766,1485,2.881,3.2888,3.408,9.6,234,5800,4.4,TRUE,exoplanets.org
WASP-131 b,0.167,0.168,,1.24,0.273475,1709,1437,2.665,5.322,3.8304,,250,5950,3.9,TRUE,exoplanets.org
WASP-123 b,0.229,0.186,,1.35,0.898458,1805,1518,3.11,2.9776,3.0936,,214,5740,4.3,TRUE,exoplanets.org
WASP-129 b,0.017,0.059,0.041,0.96,0.970915,1279,1076,3.442,5.7481,2.6856,10.4,246,5900,4.1,TRUE,exoplanets.org
WASP-124 b,0.078,0.09,0.099,1.26,0.595833,1649,1387,2.99,3.3727,2.5704,11.3,433,6050,4,TRUE,exoplanets.org
WASP-151 b,0.042,0.064,0.131,1.15,0.31667,1532,1288,2.797,4.5335,3.66,11.2,480,5871,4.3,TRUE,exoplanets.org
HAT-P-50 b,0.207,0.1,0.041,1.32,1.37181,2202,1851,3.311,3.122,3.6744,10.5,497,6280,4.072,TRUE,exoplanets.org
LTT 9779 b,0.173,0.064,0.1,0.42,0.09225,2348,1974,3.111,0.7921,0.7335,8,80.44,5443,4.35,TRUE,nexsci
K2-99 b,0.024,0.038,0.03,1.3,0.975461,1516,1275,3.176,18.249,12,9.7,526.76,5990,3.67,TRUE,exoplanets.org
HATS-15 b,0.07,0.057,0.013,1.13,2.16279,1773,1491,3.646,1.7475,2.2697,12.7,689,5311,4.449,TRUE,exoplanets.org
HATS-23 b,0.186,0.116,0.064,1.9,1.47655,1966,1653,3.028,2.1605,1.8048,12.3,747,5780,4.328,TRUE,exoplanets.org
HATS-35 b,0.38,0.146,0.072,1.5,1.22979,2415,2031,3.154,1.821,3.1176,11.1,557,6300,4.244,TRUE,exoplanets.org
K2-31 b,0.358,0.276,0.067,1.05,1.7799,1796,1510,3.626,1.2578,0.9816,8.9,110.87,5280,4.6,TRUE,exoplanets.org
Qatar-10 b,0.402,0.166,0.14,1.54,0.736,2322,1952,2.884,1.6453,2.59,11.4,559.07,6124,4.3,TRUE,nexsci
HD 89345 b,0.01,0.038,0.153,0.62,0.112312,1249,1050,2.856,11.814,6.033,7.7,132.85,5499,4.044,TRUE,exoplanets.org
HATS-12 b,0.16,0.058,0.014,1.39,2.37911,2491,2095,3.507,3.1428,4.5238,11.4,981,6408,3.923,TRUE,exoplanets.org
HAT-P-65 b,0.346,0.142,0.199,1.93,0.526197,2293,1928,2.564,2.6055,4.3656,11.5,841,5835,3.983,TRUE,exoplanets.org
EPIC 211945201 b,0.001,0.012,0.082,0.56,0.084344,1048,881,2.846,19.4921,3.912,8.8,182.6,6025,4.25,TRUE,exoplanets.org
KELT-10 b,0.201,0.238,0.281,1.43,0.6803,1635,1375,2.915,4.1663,3.744,9.3,183,5948,4.319,TRUE,exoplanets.org
HD 106315 c,0.001,0.012,0.081,0.41,0.069254,1045,879,3.012,21.058,4.728,7.9,109.7,6254,4.234,TRUE,exoplanets.org
WASP-177 b,0.094,0.207,0.348,1.58,0.508,1364,1147,2.703,3.0717,1.5983,10.2,176.82,5017,4.49,TRUE,nexsci
HATS-30 b,0.094,0.101,0.089,1.2,0.705734,1680,1413,3.105,3.1744,2.7504,10.8,339,5943,4.425,TRUE,exoplanets.org
HD 221416 b,0.05,0.09,0.205,0.84,0.19,1425,1199,2.829,14.2767,8.6973,6,95.55,5080,3.58,TRUE,nexsci
WASP-181 b,0.032,0.068,0.167,1.18,0.299,1416,1190,2.723,4.5195,3.0648,11.4,437.5,5839,4.49,TRUE,nexsci
Qatar-9 b,0.058,0.115,0.043,1.01,1.19,1351,1136,3.462,1.5407,1.8672,11.1,213.77,4309,4.61,TRUE,nexsci
HATS-34 b,0.093,0.086,0.06,1.46,0.938774,1714,1441,3.058,2.1062,1.5552,12.1,532,5380,4.435,TRUE,exoplanets.org
K2-138 b,0.002,0.002,0.013,0.14,0.011989,1554,1307,3.158,2.3532,1.7304,10.3,183,5378,4.59,TRUE,exoplanets.org
HATS-8 b,0.016,0.021,0.071,0.88,0.13832,1569,1319,2.668,3.5839,3.0312,12.7,829,5679,4.386,TRUE,exoplanets.org
HAT-P-42 b,0.08,0.081,0.05,1.31,1.04234,1696,1427,3.199,4.6419,4.0344,10.6,447,5743,4.14,TRUE,exoplanets.org
